frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.29347914457321167,4.450831413269043,-1.4673957824707031,0.14279979467391968,200,544
0,1,-0.4294816553592682,4.414826393127441,-1.1452844142913818,0.28559958934783936,222,472
0,2,-0.3006371855735779,4.647737979888916,-1.2025487422943115,0.28559958934783936,69,568
0,3,-0.42232364416122437,4.375349044799805,-0.9854218363761902,0.42839938402175903,199,457
0,4,1.0212119817733765,3.646456241607666,1.53181791305542,-0.42839938402175903,158,458
0,5,0.7444348931312561,3.6972768306732178,1.240724802017212,-0.14279979467391968,180,463
0,6,0.9102625250816345,3.8001222610473633,1.4304125308990479,-0.14279979467391968,131,514
0,7,0.9353156685829163,3.8517730236053467,1.603398323059082,-0.14279979467391968,188,557
0,8,3.0063719749450684,3.2064049243927,1.9541417360305786,-0.14279979467391968,109,528
1,0,-0.5726422071456909,4.313862323760986,-1.431605577468872,0.14279979467391968,227,509
1,1,-0.29347914457321167,4.450831413269043,-1.4673957824707031,0.14279979467391968,265,496
1,2,-0.5726422071456909,4.313862323760986,-1.431605577468872,0.42839938402175903,218,451
1,3,-0.45453476905822754,4.5301713943481445,-1.6666275262832642,0.42839938402175903,60,531
1,4,-0.4402187168598175,4.330682277679443,-1.76087486743927,0.7139989733695984,157,458
1,5,-0.5774142742156982,4.2431111335754395,-1.7322428226470947,0.8567987680435181,167,450
1,6,3.106584072113037,2.9101762771606445,2.0710561275482178,-0.42839938402175903,155,512
1,7,1.3313931226730347,3.0099825859069824,-3.402449131011963,-0.42839938402175903,155,512
1,8,3.484766721725464,2.838568925857544,1.8181390762329102,-0.42839938402175903,55,537
1,9,1.8300690650939941,1.2825171947479248,-0.2815490961074829,-0.28559958934783936,87,456
1,10,0.8685073852539062,3.576646327972412,1.4888697862625122,-0.28559958934783936,255,454
1,11,0.9102625250816345,3.748600482940674,1.5604500770568848,-0.28559958934783936,243,528
2,0,-0.4294816553592682,4.330459117889404,-1.431605577468872,0.14279979467391968,259,485
2,1,-0.30540919303894043,4.721511363983154,-1.2216367721557617,0.14279979467391968,46,575
2,2,-0.5965023040771484,4.383378505706787,-1.7895069122314453,0.8567987680435181,128,451
2,3,0.8601563572883606,3.5909411907196045,1.3516743183135986,-0.5711991786956787,245,450
2,4,0.9019114971160889,3.596123695373535,1.8038229942321777,-0.5711991786956787,175,547
2,5,1.2025487422943115,3.580324411392212,2.0042479038238525,-0.5711991786956787,104,532
2,6,3.550381660461426,2.6750857830047607,1.62725830078125,-0.42839938402175903,107,518
3,0,-0.5774142742156982,4.349811553955078,-1.4435356855392456,0.14279979467391968,245,455
3,1,-0.5821862816810608,4.278177738189697,-1.7465589046478271,0.42839938402175903,250,454
3,2,0.8434543013572693,3.4734737873077393,1.4459216594696045,-0.7139989733695984,240,457
3,3,0.8935604691505432,3.679818630218506,1.53181791305542,-0.7139989733695984,268,524
3,4,3.52174973487854,2.5584917068481445,1.76087486743927,-0.7139989733695984,151,479
3,5,1.0271769762039185,3.518691301345825,-2.9347915649414062,-0.7139989733695984,151,479
3,6,0.7587509751319885,3.72355318069458,1.3910434246063232,-0.5711991786956787,269,526
3,7,3.3475711345672607,2.6279118061065674,1.8921054601669312,-0.5711991786956787,130,495
3,8,2.332324266433716,3.185182809829712,1.920737624168396,-0.28559958934783936,68,510
4,0,0.8935604691505432,3.562826156616211,1.7871209383010864,0.0,144,449
4,1,-0.5821862816810608,4.334747314453125,-1.6010122299194336,0.14279979467391968,288,457
4,2,0.8351032733917236,3.4863507747650146,1.312305212020874,-0.7139989733695984,218,464
4,3,1.0021239519119263,3.578298330307007,1.5031859874725342,-0.7139989733695984,214,518
4,4,0.7372769117355347,3.6181695461273193,1.3516743183135986,-0.5711991786956787,211,494
4,5,3.32013201713562,2.4961068630218506,2.0209498405456543,-0.5711991786956787,159,503
4,6,0.7515929937362671,3.6884255409240723,1.377920389175415,-0.28559958934783936,234,449
4,7,3.175778388977051,2.8726000785827637,1.7322428226470947,-0.28559958934783936,140,507
4,8,0.9019114971160889,3.6579132080078125,1.674978494644165,-0.14279979467391968,128,461
4,9,-0.3006371855735779,4.68405818939209,-1.0522301197052002,-0.14279979467391968,82,516
5,0,0.6943286657333374,3.256690263748169,1.6201002597808838,0.0,98,432
5,1,0.8601563572883606,3.3651933670043945,1.843192219734192,0.0,158,458
5,2,-0.5869582891464233,4.313244819641113,-1.76087486743927,0.14279979467391968,259,446
5,3,-0.620362401008606,4.339766502380371,-2.3263590335845947,0.28559958934783936,47,482
5,4,0.9436666965484619,3.8861634731292725,1.617714285850525,-1.4279979467391968,118,480
5,5,0.9925798773765564,3.429431676864624,1.7370147705078125,-1.1423983573913574,278,455
5,6,3.123286008834839,2.633105993270874,1.9875457286834717,-0.9995985627174377,179,457
5,7,0.8768584728240967,3.611037254333496,1.5031859874725342,-0.8567987680435181,207,462
5,8,0.8100501298904419,3.3817601203918457,1.2729359865188599,-0.5711991786956787,220,469
5,9,0.8685073852539062,3.522435188293457,1.6129423379898071,-0.5711991786956787,204,522
5,10,3.123286008834839,2.633105993270874,1.9875457286834717,-0.5711991786956787,217,484
5,11,1.8455781936645508,3.1553866863250732,-2.697383403778076,-0.5711991786956787,217,484
5,12,0.7372769117355347,3.6181695461273193,1.3516743183135986,-0.42839938402175903,203,527
